,Block,Stimulus,Contrast,Choice,Outcome,Wheel,Whisker,Lick
VISp,0.39106043535326906,0.15600683924032038,0.6087103519548229,0.3260508835414706,0.4230730783679862,-0.677416891141683,-0.006860564288880067,-0.31427176836941934
AUDp,-0.23202645122903973,-0.21949184558270318,-0.263267245001156,-0.2557376307723468,-0.0783864637876353,0.11736330940372176,0.054321688591379744,0.2931904610318714
AUDd,-0.8366587908265761,-0.7030922863589811,-0.49724458608556693,-0.6643247608716177,-0.3675793071079299,-0.2768151713551935,-0.22982596292215962,-0.2696066638558208
SSp-bfd,-0.18737218067378703,-0.5085297690318793,-0.6302626994552768,-0.5578473451926412,-0.3482495975888694,-0.4427444037896242,-0.25528964665632586,-0.3723095747923282
AUDv,-0.00151391145341413,0.17754545189293028,-0.23588886042192633,-0.03944621537394371,0.027893871858907914,0.2774002849547304,0.3043658785848887,0.9329931275053412
SSs,-0.5652223939983507,-0.4174670844228048,-0.490858087833673,-0.45856815561497427,-0.32486818625086367,-0.40805132779587905,-0.23340395233673442,-0.3119437652364848
SSp-tr,0.6725163357291649,-0.0947207461111278,-0.05151531108853179,0.2632114090130487,-0.21345677907513771,0.6885647745806223,0.12614012393264237,-0.04468942429714255
VISpl,1.3991351903221854,1.75067017630987,2.017398080572714,1.862142609516805,1.6370074324621393,-0.8284332476030308,0.15796207164026305,0.17545484921743934
ECT,0.22312789167683697,0.31442520266157237,0.39172638450564334,0.4334717808729142,0.25080284270974484,0.6412756015112433,0.3634879830746037,0.6371065097555622
VISal,-1.1482038861134265,-1.139643873084711,-0.6170916384823433,-0.9275605705367593,-0.6184472490086022,-0.24679526378476813,-0.31878908479771967,-0.8749279116620103
ORBl,-0.02980692598056107,1.1181386631479024,0.3185385028994944,0.7069650796350914,-0.10029440672338448,0.9192755964326381,0.10865121384043729,0.19484126970296192
FRP,0.40307829042622206,-0.3962207488425055,-0.5742902119160668,-0.4363962752267069,-0.2794801644904107,-0.6115582532855838,-0.28507464210549016,-0.44800661631862715
AUDpo,-0.42664161055243693,-0.1202596309563766,-0.2241774851044432,-0.29350872921176535,-0.10807912979335448,0.4483013295482068,0.11145549938043926,0.05787182254933279
TEa,0.3385280073199106,0.08263965113849775,0.24822280545630981,0.04154792022142618,0.10006405842741058,0.3996336623246008,0.10285939406265383,0.3442976847693249
