,Block,Stimulus,Contrast,Choice,Outcome,Wheel,Whisker,Lick
VISp,-0.42775190666673657,-0.6046050117052565,0.03332159220794033,-0.4777399224004598,-0.415379148266709,-0.22195661184890356,-0.08214045784200312,-0.27472969424184013
AUDp,-0.019662245200222386,-0.1699760401908841,-0.24000702626937018,-0.22360295930879923,0.005442865164394856,-0.14162524605800383,-0.030775870555313927,-0.04664602325650551
AUDd,-0.6950778782666579,-0.5747160159879526,-0.45697085199413345,-0.5711358577432449,-0.4268104627888782,-0.21307500768298188,-0.15066057809515626,-0.20378950616533223
SSp-bfd,-0.2935442415880712,-0.28256380142094684,0.060453893118924025,-0.4288734837084648,-0.16187518002349455,-0.03674115983810561,-0.015218915953752568,-0.17968157842662838
AUDv,0.06203440198252218,0.1537908851952929,-0.06031135926486878,0.014503483180763945,0.3520298131469819,0.10241834115338756,0.13009360970861183,0.31550217242468404
SSs,-0.5113250758870506,-0.05328760350767401,-0.5218047272280633,-0.13834884690451524,-0.10961043136155588,0.39181276999463077,0.0075558974338302345,0.056340440572207336
SSp-tr,0.7844707772015049,0.016456810863898677,-0.19858306621679353,0.2853194119331326,-0.1703863562542116,0.6375786662148045,0.0005762114324334763,-0.05726713653055839
ECT,0.5938478854816407,0.15214648265678307,0.18065941524092824,0.25031658456068095,0.49218558837527115,0.07888973180766948,0.15776659111734226,0.3233148086893029
VISal,-1.0503992889217486,-0.8901883580041136,-0.4727743386396987,-0.8019240357855965,-0.7562819705356895,-0.4654861905546195,-0.2549347910809706,-0.5931315252263426
ORBl,1.2942522602788795,2.248074551533907,1.9673989825026381,2.3009444028875876,0.8951807531644445,0.04685915851439512,0.17289996257912457,0.5445870430362638
AUDpo,-0.3361341038462971,-0.18519131250076035,-0.25031146641380647,-0.32539767473351794,0.011487375504336421,-0.3702579005684682,-0.045519741687869125,-0.12364132856809885
TEa,0.5992894154322377,0.19005941306770802,-0.04107104704369943,0.1159388980224316,0.2840171538751103,0.19158344886619336,0.11035808294372361,0.23914232769284569
